Observer;SessionID;Block;Occluder;Color;Event;Value;Time;RelativeLocation;Direction
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;34,0949;1,01661;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,103;1,01661;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;34,112;1,02511;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,118;1,02511;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;34,129;1,01711;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,135;1,01711;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;34,145;1,02561;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,151;1,02561;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;34,162;1,01711;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,169;1,01711;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;34,179;1,02561;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,185;1,02561;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;34,195;1,01761;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,201;1,01761;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;34,212;1,02611;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,218;1,02611;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;34,229;1,01761;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,236;1,01761;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;34,245;1,02561;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,252;1,02561;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;34,262;1,01711;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,268;1,01711;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;34,279;1,02561;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,285;1,02561;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;34,295;1,01761;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,302;1,01761;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;34,312;1,02611;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,319;1,02611;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;34,329;1,01761;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,335;1,01761;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;34,345;1,02561;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,351;1,02561;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;34,362;1,01711;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,369;1,01711;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;34,379;1,02561;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,385;1,02561;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;34,395;1,01761;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,401;1,01761;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;34,412;1,02611;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,419;1,02611;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;34,429;1,01761;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,435;1,01761;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;34,445;1,02561;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,452;1,02561;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;34,462;1,01711;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,468;1,01711;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;34,479;1,02561;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,486;1,02561;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;34,495;1,01761;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,502;1,01761;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;34,512;1,02611;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,518;1,02611;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;34,529;1,01761;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,535;1,01761;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;34,546;1,02611;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,552;1,02611;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;34,562;1,01811;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,569;1,01811;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;34,579;1,02661;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,586;1,02661;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;34,596;1,01811;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;34,602;1,01811;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;34,612;1,02611;-1
